Unnamed: 0,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik
0,RUMAH 2 LANTAI TENGAH KOTA PERUMAHAN BUKIT DAMAI INDAH BALIKPAPAN KAL-TIM,1500.0,"Balikpapan Selatan, Balikpapan",5.0,3.0,144,207,SHM - Sertifikat Hak Milik,4400 Watt
0,"BALIKPAPAN,  RUMAH CANTIK TENGAH KOTA (Y255)",1600.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,210,176,SHM - Sertifikat Hak Milik,3500 Watt
1,"Rumah Luas Lokasi Strategis di Gunung Samarinda Baru, Balikpapan Utara",3100.0,"Balikpapan Utara, Balikpapan",3.0,2.0,534,200,SHM - Sertifikat Hak Milik,2200 Watt
1,DUA RUMAH BERSEBELAHAN SATU SERTIFIKAT SIAP HUNI,1500.0,"Balikpapan Selatan, Balikpapan",5.0,4.0,193,150,SHM - Sertifikat Hak Milik,4400 Watt
2,Rumah Minimalis Baru Renovasi Untuk Keluarga Muslimin,600.0,"Balikpapan Utara, Balikpapan",2.0,2.0,80,140,SHM - Sertifikat Hak Milik,1300 Watt
2,Rumah Kosong di Balikpapan,795.0,"Sepinggan, Balikpapan",3.0,1.0,150,63,SHM - Sertifikat Hak Milik,1300 Watt
3,"DIJUAL CEPAT RUMAH DI JALAN SWADAYA, KARANG REJO BALIKPAPAN",510.0,"Balikpapan Tengah, Balikpapan",3.0,2.0,201,150,SHM - Sertifikat Hak Milik,1300 Watt
4,Rumah Minimalis Modern Smart Home Tanah Luas,850.0,"Balikpapan Utara, Balikpapan",3.0,3.0,120,65,SHM - Sertifikat Hak Milik,2200 Watt
5,Rumah 2 Lantai Lokasi Premium Balikpapan,1050.0,"Balikpapan Utara, Balikpapan",3.0,2.0,90,70,HGB - Hak Guna Bangunan,2200 Watt
6,rmh cantik siap huni,1200.0,"Balikpapan Timur, Balikpapan",3.0,2.0,152,70,SHM - Sertifikat Hak Milik,2200 Watt
6,"Rumah Cantik 2,5 Lantai Konsep Scandinavian Dengan Rooftop",900.0,"Balikpapan Utara, Balikpapan",3.0,2.0,78,100,SHM - Sertifikat Hak Milik,2200 Watt
7,cepat rumah perumahan denhag luas 400m2,4500.0,"Balikpapan Utara, Balikpapan",6.0,4.0,396,400,SHM - Sertifikat Hak Milik,4400 Watt
8,"Rumah Strategis Akses Mudah di Perum. Balikpapan Baru, Balikpapan",2500.0,"Balikpapan Baru, Balikpapan",3.0,2.0,305,100,SHM - Sertifikat Hak Milik,2200 Watt
9,RUMAH KOLAM RENANG RASA VILA DI PERUMAHAN PUPUK,5250.0,"Balikpapan Selatan, Balikpapan",3.0,3.0,500,350,SHM - Sertifikat Hak Milik,16500 Watt
9,Rumah SHM di Perumahan Asri Bukit Mutiara Kutai Hills Balikpapan,1500.0,"Balikpapan Utara, Balikpapan",3.0,2.0,157,111,SHM - Sertifikat Hak Milik,4400 Watt
10,RUMAH MEWAH RASA VILA DI PERUMAHAN PUPUK,5250.0,"Balikpapan Selatan, Balikpapan",3.0,3.0,500,350,SHM - Sertifikat Hak Milik,16500 Watt
10,Rumah 230 Meter Jalan Raya Dekat Fasilitas Pendidikan,690.0,"Balikpapan Utara, Balikpapan",3.0,2.0,144,60,SHM - Sertifikat Hak Milik,1300 Watt
11,Rumah Cluster Minimalis Modern 200 Meter Jalan Raya,600.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,93,57,HGB - Hak Guna Bangunan,1300 Watt
11,DIJUAL RUMAH Daun Village Balikpapan,7000.0,"Balikpapan Selatan, Balikpapan",4.0,6.0,190,380,SHM - Sertifikat Hak Milik,5500 Watt
12,"RUMAH 3 LANTAI DI TELAGA SARI, BALIKPAPAN",1000.0,"Telaga Sari, Balikpapan",6.0,4.0,150,174,SHM - Sertifikat Hak Milik,3500 Watt
12,Rumah Minimalis Type 36 Balikpapan Utara,350.0,"Balikpapan Utara, Balikpapan",2.0,1.0,120,36,HGB - Hak Guna Bangunan,1300 Watt
13,"RUMAH SIAP HUNI PERUMAHAN BDS 2, TENGAH KOTA BALIKPAPAN KAL-TIM",800.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,120,90,SHM - Sertifikat Hak Milik,1300 Watt
13,"RUMAH CANTIK MINIMALIS SIAP HUNI,DALAM PERUMAHAN DEKAT AKSES IKN",500.0,"Balikpapan Utara, Balikpapan",2.0,2.0,96,96,SHM - Sertifikat Hak Milik,2200 Watt
14,Rumah Minimalis Bagus 2 Lantai Dekat SMA 4,850.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,150,120,SHM - Sertifikat Hak Milik,2200 Watt
14,Dijual Rumah Lux 1 Lantai Full Furnished Dengan Kolam Renang ,5500.0,"Balikpapan Selatan, Balikpapan",3.0,3.0,500,350,SHM - Sertifikat Hak Milik,5500 Watt
15,"BALIKPAPAN, PERUMAHAN ROYAL RECIDENT",500.0,"Balikpapan Timur, Balikpapan",2.0,1.0,75,60,HGB - Hak Guna Bangunan,1300 Watt
15,BALIKPAPAN PERUMAHAN BALIKPAPAN BARU,2800.0,"Balikpapan Baru, Balikpapan",4.0,3.0,320,155,SHM - Sertifikat Hak Milik,5500 Watt
16,RUMAH HOMY COZY SIAP HUNI DALAM PERUMAHAN ELITE BALIKPAPAN,2800.0,"Balikpapan Selatan, Balikpapan",3.0,3.0,162,240,HGB - Hak Guna Bangunan,3500 Watt
17,BALIKPAPAN PERUMAHAN KORPRI PRAJA RINGROAD,850.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,150,120,SHM - Sertifikat Hak Milik,2200 Watt
17,RUMAH BAGUS DI BORNEO PARADISO,2900.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,140,240,SHM - Sertifikat Hak Milik,2200 Watt
18,BALIKPAPAN PERUMAHAN BALIKPAPAN BARU,2700.0,"Balikpapan Baru, Balikpapan",4.0,3.0,320,155,SHM - Sertifikat Hak Milik,5500 Watt
18,RUMAH DIPERUMAHAN WIKA,900.0,"Balikpapan Utara, Balikpapan",2.0,2.0,120,120,SHM - Sertifikat Hak Milik,2200 Watt
19,Rumah Bagus Siap Huni 2 Lantai di Gunung Sari,1200.0,"Balikpapan Tengah, Balikpapan",4.0,2.0,165,150,SHM - Sertifikat Hak Milik,1300 Watt
20,RUMAH DENGAN BANGUNAN BARU DI PERUMAHAN GRAND CITY,3500.0,"Balikpapan Utara, Balikpapan",3.0,2.0,216,172,SHM - Sertifikat Hak Milik,2200 Watt
21,RUMAH SIAP TINGGAL LOKASI STRATEGIS TENGAH KOTA,750.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,150,100,SHM - Sertifikat Hak Milik,2200 Watt
22,RUMAH MEWAH 2 LANTAI SIAP HUNI DI PINEVILLE GRAND CITY,3950.0,"Balikpapan Selatan, Balikpapan",3.0,3.0,180,200,HGB - Hak Guna Bangunan,2200 Watt
22,"RUMAH SIAP HUNI DI KM 5,5 BATU AMPAR",470.0,"Balikpapan Utara, Balikpapan",2.0,1.0,120,45,HGB - Hak Guna Bangunan,1300 Watt
