Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
RUMAH 2 LANTAI TENGAH KOTA PERUMAHAN BUKIT DAMAI INDAH BALIKPAPAN KAL-TIM,"Rp 1,5 Miliar","Balikpapan Selatan, Balikpapan",5,3,144 m²,207 m²,1,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1,1,Tidak,Tidak,Semi Furnished,2,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
"Rumah Luas Lokasi Strategis di Gunung Samarinda Baru, Balikpapan Utara","Rp 3,1 Miliar","Balikpapan Utara, Balikpapan",3,2,534 m²,200 m²,3,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Ya,Ya,,1,,Ya,,PAM atau PDAM,Tidak,Bagus,Dijual
Rumah Minimalis Baru Renovasi Untuk Keluarga Muslimin,Rp 600 Juta,"Balikpapan Utara, Balikpapan",2,2,80 m²,140 m²,1,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,1,Ya,Ya,Semi Furnished,1,,Ya,,PAM atau PDAM,Tidak,Bagus,Dijual
"DIJUAL CEPAT RUMAH DI JALAN SWADAYA, KARANG REJO BALIKPAPAN",Rp 510 Juta,"Balikpapan Tengah, Balikpapan",3,2,201 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,Unfurnished,1,,Tidak,,,Tidak,Bagus,Dijual
Rumah Minimalis Modern Smart Home Tanah Luas,Rp 850 Juta,"Balikpapan Utara, Balikpapan",3,3,120 m²,65 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Ya,Ya,Unfurnished,2,Pemukiman Warga,Ya,,Sumur Bor,Tidak,Baru,Dijual
Rumah 2 Lantai Lokasi Premium Balikpapan,"Rp 1,05 Miliar","Balikpapan Utara, Balikpapan",3,2,90 m²,70 m²,1,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,1,Ya,Ya,Unfurnished,2,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,Dijual
"Rumah Cantik 2,5 Lantai Konsep Scandinavian Dengan Rooftop",Rp 900 Juta,"Balikpapan Utara, Balikpapan",3,2,78 m²,100 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Ya,Ya,Unfurnished,3,Pemukiman Warga,Ya,2 Mobil,Sumur Bor,Tidak,Baru,Dijual
cepat rumah perumahan denhag luas 400m2,"Rp 4,5 Miliar","Balikpapan Utara, Balikpapan",6,4,396 m²,400 m²,1,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,1,Ya,Ya,Semi Furnished,2,Taman Kota,Tidak,,PAM atau PDAM,Ya,Butuh Renovasi,Dijual
"Rumah Strategis Akses Mudah di Perum. Balikpapan Baru, Balikpapan","Rp 2,5 Miliar","Balikpapan Baru, Balikpapan",3,2,305 m²,100 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Ya,Ya,,1,,Ya,,PAM atau PDAM,Tidak,Bagus,Dijual
Rumah SHM di Perumahan Asri Bukit Mutiara Kutai Hills Balikpapan,"Rp 1,5 Miliar","Balikpapan Utara, Balikpapan",3,2,157 m²,111 m²,1,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1,1,Ya,Ya,Semi Furnished,2,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Sudah Renovasi,Dijual
Rumah 230 Meter Jalan Raya Dekat Fasilitas Pendidikan,Rp 690 Juta,"Balikpapan Utara, Balikpapan",3,2,144 m²,60 m²,1,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,1,Tidak,Ya,Unfurnished,1,Pemukiman Warga,Ya,,PAM atau PDAM,Tidak,Baru,Dijual
Rumah Cluster Minimalis Modern 200 Meter Jalan Raya,Rp 600 Juta,"Balikpapan Selatan, Balikpapan",2,1,93 m²,57 m²,1,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,1,Ya,Ya,Unfurnished,1,Pemukiman Warga,Ya,,PAM atau PDAM,Tidak,Baru,Dijual
Rumah Minimalis Type 36 Balikpapan Utara,Rp 350 Juta,"Balikpapan Utara, Balikpapan",2,1,120 m²,36 m²,1,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,Tidak,Ya,Unfurnished,1,Pemukiman Warga,Ya,,PAM atau PDAM,Tidak,Baru,Dijual
"RUMAH CANTIK MINIMALIS SIAP HUNI,DALAM PERUMAHAN DEKAT AKSES IKN",Rp 500 Juta,"Balikpapan Utara, Balikpapan",2,2,96 m²,96 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
Dijual Rumah Lux 1 Lantai Full Furnished Dengan Kolam Renang ,"Rp 5,5 Miliar","Balikpapan Selatan, Balikpapan",3,3,500 m²,350 m²,1,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1,1,Ya,Ya,,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Sudah Renovasi,Dijual
"BALIKPAPAN, PERUMAHAN ROYAL RECIDENT",Rp 500 Juta,"Balikpapan Timur, Balikpapan",2,1,75 m²,60 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1087. Dijual rumah murah di Perumahan Balikpapan Baru Kalimantan,"Rp 6,5 Miliar","Balikpapan Baru, Balikpapan",12,10,719 m²,800 m²,,Rumah,SHM - Sertifikat Hak Milik,,,1,Tidak,Tidak,Unfurnished,2,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
BALIKPAPAN PERUMAHAN KORPRI PRAJA RINGROAD,Rp 850 Juta,"Balikpapan Selatan, Balikpapan",3,2,150 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
BALIKPAPAN PERUMAHAN BALIKPAPAN BARU,"Rp 2,7 Miliar","Balikpapan Baru, Balikpapan",4,3,320 m²,155 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
RUMAH/VILLA/COTAGE /KEBUN  BUAH SANGAT LUAS,Rp 1 Juta,"Balikpapan Utara, Balikpapan",10,6,52630 m²,1000 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,1,,Tidak,,PAM atau PDAM,Tidak,,Dijual
RUMAH DENGAN BANGUNAN BARU DI PERUMAHAN GRAND CITY,"Rp 3,5 Miliar","Balikpapan Utara, Balikpapan",3,2,216 m²,172 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH SIAP TINGGAL LOKASI STRATEGIS TENGAH KOTA,Rp 750 Juta,"Balikpapan Selatan, Balikpapan",3,2,150 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH MEWAH 2 LANTAI SIAP HUNI DI PINEVILLE GRAND CITY,"Rp 3,95 Miliar","Balikpapan Selatan, Balikpapan",3,3,180 m²,200 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,1,,,,,,,,,,,,Dijual
2 RUMAH DI SONITEN II PERUM PESONA ALAM PERMAI,"Rp 2,8 Miliar","Balikpapan Utara, Balikpapan",4,4,256 m²,180 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,,,,,,,,,,,Dijual
Rumah Nyaman Dalam Cluster,Rp 900 Juta,"Balikpapan Utara, Balikpapan",,,189 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,1,,Ya,2 Mobil,Sumur Bor,Tidak,Sudah Renovasi,Dijual
Rumah Asri Tanah Ngantong,"Rp 1,5 Miliar","Balikpapan Utara, Balikpapan",,,230 m²,240 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Tidak,Tidak,,1,,Ya,2 Mobil,Sumur Bor,Ya,Sudah Renovasi,Dijual
TURUN HARGA!!!  CEPAT RUMAH CANTIK BARU SELESAI RENOVASI DI PERUMAHAN TAMANSARI BUKIT MUTIARA (WIKA) BALIKPAPAN KAL-TIM,Rp 600 Juta,"Balikpapan Utara, Balikpapan",2,1,91 m²,82 m²,1,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,1,Tidak,Tidak,Unfurnished,1,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Sudah Renovasi,Dijual
"BALIKPAPAN, KOST 40 KAMAR STRATEGIS PINGGIR JALAN RAYA PRAPATAN COCOK UNTUK INVESTASI",Rp 15 Miliar,"Prapatan, Balikpapan",42,45,350 m²,2054 m²,,Rumah,SHM - Sertifikat Hak Milik,33000 Watt,,1,Ya,Ya,,5,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
"BALIKPAPAN, RUMAH CANTIK DAN MINIMALIS DI PALM HILLS",Rp 695 Juta,"Balikpapan Selatan, Balikpapan",2,1,80 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
Rumah Bagus Siap Huni di Balikpapan SHM,"Rp 2,8 Miliar","Balikpapan Selatan, Balikpapan",4,3,160 m²,150 m²,1,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1,1,Ya,Ya,Furnished,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
RUMAH CANTIK 1 LANTAI HOOK FULLY FURNISHED DALAM CLUSTER HUNIAN NYAMAN ASRI DAN TENANG,"Rp 2,2 Miliar","Balikpapan Selatan, Balikpapan",3,2,221 m²,150 m²,2,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,1,Ya,Ya,Furnished,1,Pemukiman Warga,Tidak,2 Mobil,,Ya,Bagus,Dijual
"BALIKPAPAN, RUMAH CANTIK FULL FURNISH (Y359)","Rp 2,4 Miliar","Damai, Balikpapan",2,3,144 m²,250 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,,,,,,,,,,,Dijual
BALIKPAPAN PERUMAHAN BALIKPAPAN BARU,"Rp 2,3 Miliar","Balikpapan Baru, Balikpapan",3,2,180 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
