,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
0,"BALIKPAPAN,  RUMAH CANTIK TENGAH KOTA (Y255)","Rp 1,6 Miliar","Balikpapan Selatan, Balikpapan",3,2,210 m²,176 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,Semi Furnished,,,,,,,Bagus,Dijual
1,DUA RUMAH BERSEBELAHAN SATU SERTIFIKAT SIAP HUNI,"Rp 1,5 Miliar","Balikpapan Selatan, Balikpapan",5,4,193 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,,,,,,,,,,,Dijual
2,Rumah Kosong di Balikpapan,Rp 795 Juta,"Sepinggan, Balikpapan",3,1,150 m²,63 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,Unfurnished,,,,,,,Butuh Renovasi,Dijual
3,Rumah Mewah design minimalis siap huni Cluster Paris Balikpapan Baru,"Rp 7,5 Miliar","Balikpapan Baru, Balikpapan",,,300 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,10000 Watt,,,,,Furnished,1,,,,,,Bagus,Dijual
4,Ruman modern lokasi premium dan elite,"Rp 3,8 Miliar","Balikpapan Selatan, Balikpapan",4,3,240 m²,245 m²,,Rumah,SHM - Sertifikat Hak Milik,,1,,,,Unfurnished,1,,,,,,Bagus Sekali,Dijual
5,"Rumah cantik minimalis, modern, lokasi ciputra hadap boulevard","Rp 3,5 Miliar","Balikpapan Selatan, Balikpapan",4,5,300 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,,,,,,Unfurnished,1,,,,,,Bagus,Dijual
6,rmh cantik siap huni,"Rp 1,2 Miliar","Balikpapan Timur, Balikpapan",3,2,152 m²,70 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,Semi Furnished,1,,,,,,Bagus Sekali,Dijual
7,"Kost Baru + Rumah 2 lantai, 28 + 4 Kamar di Gunung Sari, Posisi Strategis",Rp 3 Miliar,"Balikpapan Tengah, Balikpapan",32,,525 m²,305 m²,,Rumah,SHM - Sertifikat Hak Milik,,,,Tidak,Tidak,Furnished,,,Tidak,,,Tidak,Butuh Renovasi,Dijual
8,TURUN HARGA LAGI KANTOR/ RUMAH STRATEGIS  HARGA  MURAH,"Rp 4,5 Miliar","Balikpapan Utara, Balikpapan",7,4,540 m²,550 m²,,Rumah,SHM - Sertifikat Hak Milik,,,,,,,,,,,,,,Dijual
9,RUMAH KOLAM RENANG RASA VILA DI PERUMAHAN PUPUK,"Rp 5,25 Miliar","Balikpapan Selatan, Balikpapan",3,3,500 m²,350 m²,,Rumah,SHM - Sertifikat Hak Milik,16500 Watt,,,,,,,,,,,,,Dijual
10,RUMAH MEWAH RASA VILA DI PERUMAHAN PUPUK,"Rp 5,25 Miliar","Balikpapan Selatan, Balikpapan",3,3,500 m²,350 m²,,Rumah,SHM - Sertifikat Hak Milik,16500 Watt,,,,,,,,,,,,,Dijual
11,DIJUAL RUMAH Daun Village Balikpapan,Rp 7 Miliar,"Balikpapan Selatan, Balikpapan",4,6,190 m²,380 m²,2,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1,1,Ya,Ya,Furnished,2,Pantai,Ya,2 Mobil,Sumur Bor,Tidak,Baru,Dijual
12,"RUMAH 3 LANTAI DI TELAGA SARI, BALIKPAPAN",Rp 1 Miliar,"Telaga Sari, Balikpapan",6,4,150 m²,174 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
13,"RUMAH SIAP HUNI PERUMAHAN BDS 2, TENGAH KOTA BALIKPAPAN KAL-TIM",Rp 800 Juta,"Balikpapan Selatan, Balikpapan",2,1,120 m²,90 m²,1,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,1,Ya,Ya,,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
14,Rumah Minimalis Bagus 2 Lantai Dekat SMA 4,Rp 850 Juta,"Balikpapan Selatan, Balikpapan",3,2,150 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Ya,Ya,Unfurnished,2,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
15,BALIKPAPAN PERUMAHAN BALIKPAPAN BARU,"Rp 2,8 Miliar","Balikpapan Baru, Balikpapan",4,3,320 m²,155 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
