,Judul,Harga,Lokasi,Hyperlink,Img_Hyperlink,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
501,RUMAH LUAS MEWAH DENGAN KOLAM RENANG DALAM KAWASAN RUMAH ELITE BALIKPAPAN,"Rp 9,5 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos12030548/,https://picture.rumah123.com/r123/720x420-crop/house/ho12/12030548/original/hos12030548-rumah-di-jual-di-balikpapan-selatan-balikpapan-1670476856.jpg,4,3,670 m²,400 m²,,Rumah,SHM - Sertifikat Hak Milik,13200 Watt,3,,,,,,,,,,,,Dijual
502,Rumah Jalan Siaga Balikpapan.,"Rp 2,8 Miliar","Balikpapan Kota, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11737208/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1729095/2022-11-10-04-26-39-870666c1-84da-4fbf-bccb-e83de21efd00.jpg,,,320 m²,110 m²,,Rumah,SHM - Sertifikat Hak Milik,3300 Watt,,1,Tidak,Tidak,,1,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
503,Rumah ellite full furnish di tengah kota,"Rp 1,8 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11498605/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11498605/original/hos11498605-rumah-di-jual-di-balikpapan-utara-balikpapan-1666253473.jpg,4,4,186 m²,160 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,Bagus,Dijual
504,RUMAH BDI,"Rp 1,7 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11494154/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11494154/original/hos11494154-rumah-di-jual-di-balikpapan-selatan-balikpapan-1666234734.jpg,4,3,180 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
505,RUMAH LUAS MEWAH DEPAN TAMAN DAN LAPANGAN BASKET DALAM PERUMAHAN ELITE BALIKPAPAN,"Rp 9,5 Miliar","Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11417461/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11417461/original/hos11417461-rumah-di-jual-di-balikpapan-baru-balikpapan-1665628960.jpg,4,4,396 m²,289 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,2,,,,,,,,,,,,Dijual
506,Rumah Konsep Elegant Dan Dihook Dekat Terminal Bus ,Rp 1 Miliar,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11124650/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11124650/original/hos11124650-rumah-di-jual-di-balikpapan-utara-balikpapan-1663211976.jpg,2,2,135 m²,135 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Tidak,Tidak,,,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
507,RUMAH MINIMALIS COCOK UNTUK USAHA  DI JLN  MAYJEN SUTOYO COCOK UNTUK USAHA,"Rp 2,5 Miliar","Klandasan Ilir, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11124142/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11124142/original/hos11124142-rumah-di-jual-di-klandasan-ilir-balikpapan-1663209424.jpg,6,2,128 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
508,RUMAH HOOK LUAS MEWAH DALAM PERUMAHAN ELITE BALIKPAPAN,Rp 4 Miliar,"Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11124090/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11124090/original/hos11124090-rumah-di-jual-di-balikpapan-baru-balikpapan-1663208875.jpg,4,4,296 m²,245 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,3,,,,,,,,,,,,Dijual
509,MINIMALIS MODERN TERAWAT DALAM KOMPLEK ONE GATE SYSTEM,"Rp 2,2 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11008307/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11008307/original/hos11008307-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703832819.jpg,3,3,220 m²,160 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,,,,,,,,,,,Dijual
510,TERMURAH JARANG ADA RUMAH POSISI HOOK,Rp 600 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11006351/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11006351/original/hos11006351-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703832793.jpg,2,1,144 m²,72 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
511,RUMAH MINIMALIS DITENGAH KOTA BALIKPAPAN,"Rp 1,8 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11006178/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11006178/original/hos11006178-rumah-di-jual-di-balikpapan-selatan-balikpapan-1662009455.jpg,3,2,140 m²,70 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
512,SIAP HUNI LINGKUNGAN RAMAH ANAK DALAM KOMPLEK HARGA BERSAHABAT,Rp 850 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11006156/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11006156/original/hos11006156-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703831257.jpg,3,2,120 m²,110 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
513,Rumah Minimalis Include Dapur Dan Pagar,Rp 400 Juta,"Karang Joang, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos10945771/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1355633/2022-08-25-04-22-18-9828e4c9-1c44-45ea-9a5a-72dd063d7ea3.png,2,1,96 m²,39 m²,1,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,Tidak,Tidak,Unfurnished,1,,Tidak,,,Tidak,Baru,Dijual
514,"Kredit Rumah Angsuran Murah, Cash Pun Jadi",Rp 231 Juta,"Karang Joang, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos10945290/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1355633/2023-06-29-06-55-13-27743304-5915-4305-8411-864fbeff85e2.png,2,1,90 m²,36 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,Tidak,Tidak,Unfurnished,1,Pemukiman Warga,Ya,,PAM atau PDAM,Tidak,Baru,Dijual
515,Rumah Di Wahana Asri,"Rp 1,4 Miliar","Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos10840649/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1040256/2022-08-11-12-29-16-080195d9-527a-4b70-9524-39f89a059716.jpg,2,2,270 m²,80 m²,,Rumah,SHM - Sertifikat Hak Milik,3300 Watt,1,,,,Unfurnished,1,,,,,,Bagus,Dijual
516,Rumah di Villa Permata,Rp 400 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos10840633/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1040256/2022-08-11-12-23-11-8600d9ac-c0e1-420f-a6f7-23ad31f79b81.jpg,2,1,120 m²,48 m²,,Rumah,SHM - Sertifikat Hak Milik,,,,,,Unfurnished,1,,,,,,Baru,Dijual
517,RUMAH DI AREA WIKA BALIKPAPAN,Rp 740 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos10780309/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10780309/original/hos10780309-rumah-di-jual-di-balikpapan-utara-balikpapan-1659590428.jpg,3,1,120 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
