,Judul,Harga,Lokasi,Hyperlink,Img_Hyperlink,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
776,RUMAH DIJUAL BALIKPAPAN BARU VANCOUVER HV NO.15 BALIKPAPAN,"Rp 4,4 Miliar","Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16069690/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1727362/2024-01-16-15-53-39-06d4dd14-6782-498a-9582-a134c0121f83.jpg,4,4,342 m²,102 m²,2,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1,2,Ya,Ya,Semi Furnished,2,,Tidak,,Sumur Bor,Tidak,Sudah Renovasi,Dijual
777,"RUMAH DI BALIKPAPAN,   BISA BUAT TEMPAT USAHA  HARGA DI BWH PASAR","Rp 2,85 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16058571/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16058571/original/hos16058571-rumah-di-jual-di-balikpapan-utara-balikpapan-1705372328.jpg,5,3,401 m²,400 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1,,,,,,,,,,,,Dijual
778,"RUMAH JUAL PUPUK,DEKAT BSB DAN BANDARA","Rp 4,6 Miliar","Balikpapan Kota, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15992326/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1929388/2024-01-09-07-32-52-d2bb9259-b469-4e25-a377-c0726bdcb9a2.jpg,4,2,330 m²,300 m²,2,Rumah,SHM - Sertifikat Hak Milik,10000 Watt,1,1,Ya,Ya,Furnished,1,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Tidak,Sudah Renovasi,Dijual
779,MURAH RUMAH BALIKPAPAN REGENCY 3 LANTAI,"Rp 1,24 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15989815/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15989815/original/hos15989815-rumah-di-jual-di-balikpapan-selatan-balikpapan-1704777388.jpg,4,2,120 m²,145 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
780,RUMAH SIAP HUNI 2 LANTAI SEMI FURNISH DENGAN DESAIN MINIMALIS LOKASI AMAN DAN NYAMAN,"Rp 1,2 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15985985/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15985985/original/hos15985985-rumah-di-jual-di-balikpapan-utara-balikpapan-1704760039.jpg,2,2,78 m²,47 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
781,RUMAH MEWAH DAUN VILLAGE MENGEDEPANKAN KEMEWAHAN,Rp 895 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15985979/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15985979/original/hos15985979-rumah-di-jual-di-balikpapan-selatan-balikpapan-1704759958.jpg,2,1,98 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
782,Rumah Graha Mulawarman UnFurnished Bagus ,Rp 500 Juta,"Balikpapan Timur, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15930847/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1928965/2024-01-02-09-01-34-f896f11a-37a1-4205-885d-75f6783e05fe.jpg,2,1,96 m²,38 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,1,Ya,Ya,Unfurnished,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
783,Rumah di Bukit Siaga Indah,"Rp 1,35 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15930489/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15930489/original/hos15930489-rumah-di-jual-di-balikpapan-selatan-balikpapan-1704184211.jpg,3,2,150 m²,85 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
784,Di  Rumah Mewah Siap Huni Di Balikpapan,"Rp 1,1 Miliar","Gn. Samarinda, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15928262/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15928262/original/hos15928262-rumah-di-jual-di-gn.-samarinda-balikpapan-1704172345.jpg,2,1,208 m²,86 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
785,500 JT-AN TENGAH KOTA,Rp 575 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15924765/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15924765/original/hos15924765-rumah-di-jual-di-balikpapan-selatan-balikpapan-1704155049.jpg,2,1,78 m²,45 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",1300 Watt,,,,,,,,,,,,,Dijual
786,Rumah Siap Huni Full Furniture Di Balikpapan Tengah,Rp 1 Miliar,"Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15924751/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15924751/original/hos15924751-rumah-di-jual-di-balikpapan-tengah-balikpapan-1704154755.jpg,4,3,204 m²,204 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
787,Rumah bagus di perumahan Regency Semi Furnished,"Rp 1,7 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15878227/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1928965/2023-12-26-09-02-44-c8e62ff8-bee1-479c-bbd6-d28976add8a4.jpg,3,3,98 m²,71 m²,2,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Ya,Ya,Semi Furnished,2,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
