,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
685,"DI  RUMAH 2 1/2 LANTAI STRATEGIS PINGGIR JALAN RAYA DR SUTOMO (KARANG REJO), BALIKPAPAN","Rp 2,2 Miliar","Karang Rejo, Balikpapan",7,7,176 m²,240 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Tidak,Tidak,Unfurnished,3,Perkotaan,Tidak,2 Mobil,,Tidak,Bagus,Dijual
688,BALIKPAPAN RUMAH DI PERUMAHAN KUTAI HILLS (HM173)TURUN HARGA 750JT,Rp 850 Juta,"Balikpapan Utara, Balikpapan",3,2,120 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,Unfurnished,,Perkotaan,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
689,BALIKPAPAN RUMAH PERUMAHAN BUKIT DAMAI INDAH BDI (HM174),"Rp 1,9 Miliar","Balikpapan Selatan, Balikpapan",4,3,214 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Tidak,Tidak,Semi Furnished,,Perkotaan,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
690,73 Balikpapan Bima Jamrud Rumah Dalam Perumahan Padat Penduduk,Rp 925 Juta,"Balikpapan Selatan, Balikpapan",2,1,92 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
691,"RUMAH BANGUNAN BARU,DI PERUMAHAN GRAND CITY",Rp 950 Juta,"Balikpapan Tengah, Balikpapan",2,2,80 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
692,Rumah elit gaya minimalis modern sejuk diperumahan megah,"Rp 1,97 Miliar","Balikpapan Baru, Balikpapan",3,2,162 m²,110 m²,1,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,Ya,Ya,Semi Furnished,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
693,"DIJUAL RUMAH BALIKPAPAN BARU ARIZONA, BALIKPAPAN","Rp 1,2 Miliar","Balikpapan Baru, Balikpapan",2,2,140 m²,90 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Tidak,Tidak,Unfurnished,1,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
694,"DI  RUMAH BARU READY STOCK DAN SIAP HUNI, LOKASI SANGAT STRATEGIS",Rp 405 Juta,"Balikpapan Utara, Balikpapan",2,1,96 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
695,RUMAH ETNIK DI BATU AMPAR DENGAN KONSEP CONTTAGE ASRI DAN NYAMAN,"Rp 4,25 Miliar","Batu Ampar, Balikpapan",5,6,770 m²,350 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,,,,,,,,,,,Dijual
696,DIJUAL RUMAH KONTRAKAN 2 LANTAI 4 PINTU DEKAT PINTU TOL & DEKAT DAERAH INDUSTRI BATAKAN BALIKPAPAN,Rp 1 Miliar,"Batakan, Balikpapan",8,4,135 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,900 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
697,DIJUAL RUMAH DI PUSAT KOTA BALIKPAPAN PINGGIR JALAN RAYA COCOK UNTUK USAHA,"Rp 3,1 Miliar","Balikpapan Utara, Balikpapan",5,4,922 m²,200 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Tidak,Tidak,Unfurnished,1,Perkotaan,Ya,2 Mobil,,Tidak,Bagus,Dijual
698,Rumah Minimalis Lokasi Strategis Pusat Kota Balikpapan,Rp 650 Juta,"Balikpapan Selatan, Balikpapan",2,1,60 m²,36 m²,1,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,Tidak,Ya,Unfurnished,1,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Tidak,,Dijual
699,BALIKPAPAN RUMAH HOOK DI POKA DENGAN TANAH YANG LUAS (HM161),"Rp 2,3 Miliar","Balikpapan Timur, Balikpapan",4,2,405 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
