,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
1301,"BALIKPAPAN,  SEPINGGAN PRATAMA (Y159)","Rp 7,2 Miliar","Sepinggan, Balikpapan",5,4,320 m²,700 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,,,,,,,,,,,Dijual
1302,RUMAH BESAR TENGAH KOTA,Rp 980 Juta,"Klandasan Ulu, Balikpapan",7,4,150 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
1303,MEWAH BESAR DALAM CLUSTER,"Rp 5,5 Miliar","Balikpapan Tengah, Balikpapan",4,4,475 m²,385 m²,,Rumah,SHM - Sertifikat Hak Milik,7700 Watt,,,,,,,,,,,,,Dijual
1304,BALIKPAPAN RUMAH RINGROAD PADAT PENDUDUK ( Y310),Rp 980 Juta,"Balikpapan Selatan, Balikpapan",2,2,135 m²,135 m²,,Rumah,SHM - Sertifikat Hak Milik,900 Watt,,,,,,,,,,,,,Dijual
1305,Rumah Baru Minimalis SHM Free Biaya,Rp 410 Juta,"Balikpapan Utara, Balikpapan",2,1,84 m²,40 m²,1,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,1,Tidak,Ya,Unfurnished,1,Pemukiman Warga,Ya,,PAM atau PDAM,Ya,Baru,Dijual
1306,Rumah di Kompleks Balikpapan Baru Full Furnished,Rp 4 Miliar,"Balikpapan Selatan, Balikpapan",3,2,250 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,,,,,,Furnished,1,,,,,,Bagus,Dijual
1307,Rumah mewah plus isi Fully Furnished,"Rp 3,25 Miliar","Balikpapan Selatan, Balikpapan",3,3,230 m²,293 m²,,Rumah,SHM - Sertifikat Hak Milik,,1,,,,Furnished,1,,,,,,Bagus Sekali,Dijual
1308,Rumah mewah fully furnished tengah kota,Rp 15 Miliar,"Balikpapan Tengah, Balikpapan",3,3,500 m²,750 m²,,Rumah,SHM - Sertifikat Hak Milik,,1,,,,Furnished,1,,,,,,Bagus,Dijual
1309,Rumah cantik tengah kota lengkap isi,Rp 15 Miliar,"Balikpapan Tengah, Balikpapan",4,4,500 m²,750 m²,,Rumah,SHM - Sertifikat Hak Milik,,1,,,,Furnished,1,,,,,,Bagus,Dijual
1310,Rumah murah di kota balikpapan,Rp 245 Juta,"Balikpapan Timur, Balikpapan",2,1,72 m²,36 m²,1,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,1,Ya,Ya,Unfurnished,1,Perkotaan,Ya,2 Mobil,Sumur Bor,Ya,Baru,Dijual
1311,"Rumah Modern Siap Huni 2 Lantai, Family Type","Rp 15,5 Miliar","Balikpapan Kota, Balikpapan",4,2,946 m²,298 m²,2,Rumah,SHM - Sertifikat Hak Milik,,,1,Ya,Ya,Unfurnished,2,Perkotaan,Ya,3 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
1312,Rumah Mewah Bagus 2 Lantai SHM ,Rp 7 Miliar,"Balikpapan Selatan, Balikpapan",5,4,310 m²,360 m²,1,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1,1,Ya,Ya,Semi Furnished,2,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
1313,"BALIKPAPAN, RUMAH CANTIK FULL FURNISH (Y359)","Rp 2,4 Miliar","Damai, Balikpapan",2,3,144 m²,250 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,,,,,,,,,,,Dijual
1314,BALIKPAPAN PERUM BATU AMPAR,Rp 800 Juta,"Batu Ampar, Balikpapan",2,2,147 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1315,BALIKPAPAN RUMAH TENGAH KOTA,Rp 600 Juta,"Balikpapan Selatan, Balikpapan",2,1,72 m²,49 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
