,Judul,Harga,Lokasi,Hyperlink,Img_Hyperlink,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
1251,RUMAH CANTIK FULL FURNISH DI KAWASAN BELLER,"Rp 1,8 Miliar","Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8904125/,https://picture.rumah123.com/r123/720x420-crop/house/ho89/8904125/original/hos8904125-rumah-di-jual-di-balikpapan-tengah-balikpapan-1632712620.jpg,5,3,150 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1252,RUMAH STRATEGIS DI KAWASAN PERUMAHAN KARTINI RESIDENCE,Rp 600 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8836635/,https://picture.rumah123.com/r123/720x420-crop/house/ho88/8836635/original/hos8836635-rumah-di-jual-di-balikpapan-selatan-balikpapan-1631513092.jpg,2,1,72 m²,49 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1253,"RUMAH MEWAH di BALIKPAPAN, KALIMANTAN TIMUR",Rp 30 Miliar,"Balikpapan Timur, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8801013/,https://picture.rumah123.com/r123/720x420-crop/house/ho88/8801013/original/hos8801013-rumah-di-jual-di-balikpapan-timur-di-balikpapan-16309232450774.jpg,5,5,1400 m²,800 m²,,Rumah,,,,,,,,,,,,,,,Dijual
1254,RUMAH BARU CANTIK KEREN SIAP HUNI DITENGAH KOTA BALIKPAPAN,Rp 600 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8796964/,https://picture.rumah123.com/r123/720x420-crop/house/ho87/8796964/original/hos8796964-rumah-di-jual-di-balikpapan-selatan-balikpapan-1630889639.jpg,2,1,136 m²,49 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
1255,RUMAH SATU LANTAI SIAP HUNI DI KAWASAN PERUMAHAN PUPUK,"Rp 2,5 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8760480/,https://picture.rumah123.com/r123/720x420-crop/house/ho87/8760480/original/hos8760480-rumah-di-jual-di-balikpapan-selatan-balikpapan-1630292420.jpg,3,3,356 m²,182 m²,,Rumah,SHM - Sertifikat Hak Milik,6600 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1256,Rumah Cantik Minimalis Tanpa DP,Rp 350 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8666943/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1355633/2023-09-17-03-24-58-58c29ca2-46d1-4301-8119-3fa7cbf75020.png,2,1,90 m²,40 m²,1,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,1,Tidak,Ya,Unfurnished,1,Pemukiman Warga,Ya,,PAM atau PDAM,Tidak,Baru,Dijual
1257,Rumah Cantik Minimalis Tanah Luas Tanpa Dp,Rp 365 Juta,"Batu Ampar, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8666974/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1355633/2023-08-17-04-26-31-fb05f453-baab-4980-9f0c-edd7461840ab.png,2,1,90 m²,40 m²,1,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,1,Tidak,Ya,Unfurnished,1,Pemukiman Warga,Ya,,PAM atau PDAM,Tidak,Baru,Dijual
1258,HARGA PROMO PERDANA 900 JT AN,Rp 904 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8668737/,https://picture.rumah123.com/r123/720x420-crop/house/ho86/8668737/original/hos8668737-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703827368.jpg,2,3,60 m²,49 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",1300 Watt,,,,,,,,,,,,,Dijual
1259,RUMAH KOS DI DAERAH RAMAI STRATEGIS,"Rp 2,5 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8607984/,https://picture.rumah123.com/r123/720x420-crop/house/ho86/8607984/original/hos8607984-rumah-di-jual-di-balikpapan-selatan-balikpapan-1627260361.jpg,12,12,400 m²,380 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,,,,,,,,,,,Dijual
1260,RUMAH SIAP HUNI DI PERUMAHAN ELITE BALIKPAPAN,"Rp 1,2 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos8525849/,https://picture.rumah123.com/r123/720x420-crop/house/ho85/8525849/original/hos8525849-rumah-di-jual-di-balikpapan-selatan-balikpapan-1625470585.jpg,3,2,130 m²,70 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
