,judul,hyperlink,img_hyperlinks,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
0,"BALIKPAPAN, RUMAH CANTIK FULL FURNISH (Y359)",https://www.rumah123.com//properti/balikpapan/hos16101956/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16101956/original/hos16101956-rumah-di-jual-di-damai-balikpapan-1705646792.jpg,"BALIKPAPAN, RUMAH CANTIK FULL FURNISH (Y359)","Rp 2,4 Miliar","Damai, Balikpapan",2,3,144 m²,250 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,,,,,,,,,,,Dijual
1,"BALIKPAPAN, RUMAH CANTIK FULL FURNISH (Y359)",https://www.rumah123.com//properti/balikpapan/hos16122251/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16122251/original/hos16122251-rumah-di-jual-di-damai-balikpapan-1705882031.jpg,"BALIKPAPAN, RUMAH CANTIK FULL FURNISH (Y359)","Rp 2,4 Miliar","Damai, Balikpapan",2,3,144 m²,250 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,,,,,,,,,,,Dijual
2,"BALIKPAPAN, RUMAH CANTIK FULL FURNISH (Y359)",https://www.rumah123.com//properti/balikpapan/hos16108634/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16108634/original/hos16108634-rumah-di-jual-di-damai-balikpapan-1705709528.jpg,"BALIKPAPAN, RUMAH CANTIK FULL FURNISH (Y359)","Rp 2,4 Miliar","Damai, Balikpapan",2,3,144 m²,250 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,,,,,,,,,,,Dijual
3,"RUMAH SIAP HUNI DI TAMAN SARI BUKIT MUTIARA, WIKA BALIKPAPAN",https://www.rumah123.com//properti/balikpapan/hos15573817/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15573817/original/hos15573817-rumah-di-jual-di-balikpapan-utara-balikpapan-1700806187.jpg,"RUMAH SIAP HUNI DI TAMAN SARI BUKIT MUTIARA, WIKA BALIKPAPAN",Rp 900 Juta,"Balikpapan Utara, Balikpapan",2,2,120 m²,110 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
4,"RUMAH SIAP HUNI DI TAMAN SARI BUKIT MUTIARA, WIKA BALIKPAPAN",https://www.rumah123.com//properti/balikpapan/hos15859832/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15859832/original/hos15859832-rumah-di-jual-di-balikpapan-utara-balikpapan-1703292879.jpg,"RUMAH SIAP HUNI DI TAMAN SARI BUKIT MUTIARA, WIKA BALIKPAPAN",Rp 900 Juta,"Balikpapan Utara, Balikpapan",2,2,120 m²,110 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
5,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,https://www.rumah123.com//properti/balikpapan/hos15028298/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15028298/original/hos15028298-rumah-di-jual-di-balikpapan-tengah-balikpapan-1696579698.jpg,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,"Rp 1,9 Miliar","Balikpapan Tengah, Balikpapan",5,4,214 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
6,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,https://www.rumah123.com//properti/balikpapan/hos15688410/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15688410/original/hos15688410-rumah-di-jual-di-balikpapan-tengah-balikpapan-1701821809.jpg,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,"Rp 1,9 Miliar","Balikpapan Tengah, Balikpapan",5,4,214 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
7,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,https://www.rumah123.com//properti/balikpapan/hos15688411/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15688411/original/hos15688411-rumah-di-jual-di-balikpapan-tengah-balikpapan-1701821810.jpg,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,"Rp 1,9 Miliar","Balikpapan Tengah, Balikpapan",5,4,214 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
8,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,https://www.rumah123.com//properti/balikpapan/hos15032767/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15032767/original/hos15032767-rumah-di-jual-di-balikpapan-tengah-balikpapan-1696639616.jpg,RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,"Rp 1,9 Miliar","Balikpapan Tengah, Balikpapan",5,4,214 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
9,BALIKPAPAN PERUMAHAN REGENCY,https://www.rumah123.com//properti/balikpapan/hos14863499/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14863499/original/hos14863499-rumah-di-jual-di-balikpapan-selatan-balikpapan-1695342000.jpg,BALIKPAPAN PERUMAHAN REGENCY,Rp 700 Juta,"Balikpapan Selatan, Balikpapan",3,2,72 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
