Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik
1500.0,"Balikpapan Selatan, Balikpapan",5.0,3.0,144,207,SHM - Sertifikat Hak Milik,4400
3100.0,"Balikpapan Utara, Balikpapan",3.0,2.0,534,200,SHM - Sertifikat Hak Milik,2200
600.0,"Balikpapan Utara, Balikpapan",2.0,2.0,80,140,SHM - Sertifikat Hak Milik,1300
510.0,"Balikpapan Tengah, Balikpapan",3.0,2.0,201,150,SHM - Sertifikat Hak Milik,1300
850.0,"Balikpapan Utara, Balikpapan",3.0,3.0,120,65,SHM - Sertifikat Hak Milik,2200
1050.0,"Balikpapan Utara, Balikpapan",3.0,2.0,90,70,HGB - Hak Guna Bangunan,2200
900.0,"Balikpapan Utara, Balikpapan",3.0,2.0,78,100,SHM - Sertifikat Hak Milik,2200
4500.0,"Balikpapan Utara, Balikpapan",6.0,4.0,396,400,SHM - Sertifikat Hak Milik,4400
2500.0,"Balikpapan Baru, Balikpapan",3.0,2.0,305,100,SHM - Sertifikat Hak Milik,2200
1500.0,"Balikpapan Utara, Balikpapan",3.0,2.0,157,111,SHM - Sertifikat Hak Milik,4400
690.0,"Balikpapan Utara, Balikpapan",3.0,2.0,144,60,SHM - Sertifikat Hak Milik,1300
600.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,93,57,HGB - Hak Guna Bangunan,1300
350.0,"Balikpapan Utara, Balikpapan",2.0,1.0,120,36,HGB - Hak Guna Bangunan,1300
500.0,"Balikpapan Utara, Balikpapan",2.0,2.0,96,96,SHM - Sertifikat Hak Milik,2200
5500.0,"Balikpapan Selatan, Balikpapan",3.0,3.0,500,350,SHM - Sertifikat Hak Milik,5500
500.0,"Balikpapan Timur, Balikpapan",2.0,1.0,75,60,HGB - Hak Guna Bangunan,1300
850.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,150,120,SHM - Sertifikat Hak Milik,2200
2700.0,"Balikpapan Baru, Balikpapan",4.0,3.0,320,155,SHM - Sertifikat Hak Milik,5500
3500.0,"Balikpapan Utara, Balikpapan",3.0,2.0,216,172,SHM - Sertifikat Hak Milik,2200
750.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,150,100,SHM - Sertifikat Hak Milik,2200
3950.0,"Balikpapan Selatan, Balikpapan",3.0,3.0,180,200,HGB - Hak Guna Bangunan,2200
2800.0,"Balikpapan Utara, Balikpapan",4.0,4.0,256,180,HGB - Hak Guna Bangunan,1300
600.0,"Balikpapan Utara, Balikpapan",2.0,1.0,91,82,SHM - Sertifikat Hak Milik,1300
695.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,80,45,SHM - Sertifikat Hak Milik,1300
2800.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,160,150,SHM - Sertifikat Hak Milik,4400
2200.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,221,150,SHM - Sertifikat Hak Milik,3500
2400.0,"Damai, Balikpapan",2.0,3.0,144,250,HGB - Hak Guna Bangunan,2200
1850.0,"Damai, Balikpapan",3.0,2.0,120,80,SHM - Sertifikat Hak Milik,1300
900.0,"Balikpapan Timur, Balikpapan",3.0,2.0,404,150,SHM - Sertifikat Hak Milik,1300
800.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,168,84,SHM - Sertifikat Hak Milik,1300
900.0,"Balikpapan Selatan, Balikpapan",4.0,2.0,104,100,SHM - Sertifikat Hak Milik,1300
1650.0,"Balikpapan Baru, Balikpapan",3.0,2.0,165,64,SHM - Sertifikat Hak Milik,1300
1120.0,"Balikpapan Tengah, Balikpapan",3.0,3.0,84,90,SHM - Sertifikat Hak Milik,2200
3700.0,"Balikpapan Selatan, Balikpapan",3.0,3.0,315,242,SHM - Sertifikat Hak Milik,6600
450.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,105,50,SHM - Sertifikat Hak Milik,1300
1500.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,120,90,SHM - Sertifikat Hak Milik,3500
3500.0,"Balikpapan Tengah, Balikpapan",3.0,2.0,315,175,SHM - Sertifikat Hak Milik,2200
750.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,150,120,SHM - Sertifikat Hak Milik,1300
400.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,72,56,SHM - Sertifikat Hak Milik,1300
1650.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,152,95,SHM - Sertifikat Hak Milik,2200
1100.0,"Balikpapan Selatan, Balikpapan",3.0,3.0,108,60,SHM - Sertifikat Hak Milik,1300
800.0,"Balikpapan Selatan, Balikpapan",4.0,2.0,162,230,SHM - Sertifikat Hak Milik,1300
1200.0,"Balikpapan Selatan, Balikpapan",2.0,2.0,78,47,"Lainnya (PPJB,Girik,Adat,dll)",1300
4800.0,"Balikpapan Baru, Balikpapan",4.0,4.0,400,225,SHM - Sertifikat Hak Milik,3500
880.0,"Balikpapan Tengah, Balikpapan",2.0,2.0,60,47,HGB - Hak Guna Bangunan,1300
3000.0,"Gn. Samarinda, Balikpapan",8.0,3.0,384,220,SHM - Sertifikat Hak Milik,3500
900.0,"Gn. Samarinda, Balikpapan",6.0,3.0,252,252,SHM - Sertifikat Hak Milik,1300
2500.0,"Damai, Balikpapan",4.0,3.0,180,111,SHM - Sertifikat Hak Milik,4400
1000.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,240,200,SHM - Sertifikat Hak Milik,2200
650.0,"Balikpapan Selatan, Balikpapan",2.0,2.0,140,92,SHM - Sertifikat Hak Milik,2200
1500.0,"Balikpapan Selatan, Balikpapan",4.0,2.0,299,200,SHM - Sertifikat Hak Milik,3500
595.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,112,45,SHM - Sertifikat Hak Milik,1300
1700.0,"Balikpapan Selatan, Balikpapan",5.0,3.0,120,115,SHM - Sertifikat Hak Milik,2200
1800.0,"Balikpapan Selatan, Balikpapan",3.0,3.0,100,120,SHM - Sertifikat Hak Milik,2200
850.0,"Balikpapan Utara, Balikpapan",2.0,1.0,208,180,SHM - Sertifikat Hak Milik,1300
4500.0,"Balikpapan Tengah, Balikpapan",3.0,4.0,300,250,SHM - Sertifikat Hak Milik,6600
2800.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,354,225,SHM - Sertifikat Hak Milik,4400
800.0,"Balikpapan Timur, Balikpapan",2.0,2.0,150,80,SHM - Sertifikat Hak Milik,2200
2700.0,"Balikpapan Utara, Balikpapan",4.0,3.0,311,225,SHM - Sertifikat Hak Milik,3500
2400.0,"Balikpapan Selatan, Balikpapan",5.0,3.0,215,250,SHM - Sertifikat Hak Milik,3500
2500.0,"Balikpapan Utara, Balikpapan",4.0,2.0,400,200,SHM - Sertifikat Hak Milik,1300
1500.0,"Balikpapan Selatan, Balikpapan",2.0,2.0,108,61,SHM - Sertifikat Hak Milik,2200
530.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,75,45,SHM - Sertifikat Hak Milik,1300
1200.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,180,150,SHM - Sertifikat Hak Milik,2200
900.0,"Balikpapan Timur, Balikpapan",3.0,1.0,114,90,SHM - Sertifikat Hak Milik,1300
1500.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,256,200,SHM - Sertifikat Hak Milik,2200
800.0,"Balikpapan Selatan, Balikpapan",4.0,2.0,200,195,SHM - Sertifikat Hak Milik,2200
3300.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,215,230,SHM - Sertifikat Hak Milik,3500
