judul,hyperlink,img_hyperlinks
"Apartemen Bagus Rp 1,195 M , 2br Furnished View Laut di Ruby Tower , Langsung Owner",https://www.rumah123.com//properti/balikpapan/aps3162334/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1219618/2024-01-14-08-39-32-e42c6acc-6643-46e4-b9a6-ec25389edc1c.jpg
Apartemen Podomoro Balikpapan Borneo Bay City Lokasi Strategis di Balikpapan Kota,https://www.rumah123.com//properti/balikpapan/aps3083280/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1912044/2023-11-06-08-49-37-f187ae63-3fab-42a7-8f31-d1e9f76029c8.jpg
"Apartemen Borneo Bay 2 KT, 1 KM ,menghadap Laut Dan Kolam Renang",https://www.rumah123.com//properti/balikpapan/aps3183823/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1333943/2024-01-31-00-05-33-59064db8-8f6c-4b11-9759-7d21cd9e1eaf.jpg
Jual Apartmen Seaview Strategis Pusat Kota Balikpapan,https://www.rumah123.com//properti/balikpapan/aps3168514/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1697391/2024-01-19-03-07-11-a17d2e5f-48ef-43a2-822a-535db1e1ef37.png
Balikpapan Borneo Bay,https://www.rumah123.com//properti/balikpapan/aps3146441/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3146441/original/aps3146441-apartemen-di-jual-di-klandasan-ilir-balikpapan-1703832664.jpg
Balikpapan Borneo Bay (type 2BR),https://www.rumah123.com//properti/balikpapan/aps3146437/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3146437/original/aps3146437-apartemen-di-jual-di-klandasan-ilir-balikpapan-1703832542.jpg
"Apartemen Borneo Bay City Full Furnished, Type 1 BR ",https://www.rumah123.com//properti/balikpapan/aps3146433/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3146433/original/aps3146433-apartemen-di-jual-di-balikpapan-selatan-balikpapan-1703832323.jpg
Borneo Bay ( type 1BR),https://www.rumah123.com//properti/balikpapan/aps3146432/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3146432/original/aps3146432-apartemen-di-jual-di-klandasan-ilir-balikpapan-1703832235.jpg
Borneo Bay Studio,https://www.rumah123.com//properti/balikpapan/aps3146419/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3146419/original/aps3146419-apartemen-di-jual-di-klandasan-ilir-balikpapan-1703831948.jpg
"Apartemen Borneobay 3 Kamar Full Furnished, View Taman,kolam,laut",https://www.rumah123.com//properti/balikpapan/aps3146413/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3146413/original/aps3146413-apartemen-di-jual-di-balikpapan-selatan-balikpapan-1703831615.jpg
Apartemen Balikpapan Borneo bay type studio,https://www.rumah123.com//properti/balikpapan/aps3146409/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3146409/original/aps3146409-apartemen-di-jual-di-balikpapan-selatan-balikpapan-1703831365.jpg
Apartemen Borneo Bay Kertanegara,https://www.rumah123.com//properti/balikpapan/aps3146352/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3146352/original/aps3146352-apartemen-di-jual-di-balikpapan-selatan-balikpapan-1703827296.jpg
APARTEMEN CANTIK SEA VIEW COCOK UNTUK INVESTASI,https://www.rumah123.com//properti/balikpapan/aps3146341/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3146341/original/aps3146341-apartemen-di-jual-di-balikpapan-selatan-balikpapan-1703826637.jpg
APARTEMEN BORNEO BAY TURUN HARGA FULLY FURNISH VIEW KOTA TYPE 2 BR,https://www.rumah123.com//properti/balikpapan/aps3146339/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3146339/original/aps3146339-apartemen-di-jual-di-balikpapan-selatan-balikpapan-1703826627.jpg
MEWAH HARGA TERBAIK,https://www.rumah123.com//properti/balikpapan/aps3146336/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3146336/original/aps3146336-apartemen-di-jual-di-balikpapan-selatan-balikpapan-1703826423.jpg
MURAH APARTEMEN BORNEO BAY BAGUS FULLY FURNISH DI  CEPAT,https://www.rumah123.com//properti/balikpapan/aps3146335/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3146335/original/aps3146335-apartemen-di-jual-di-balikpapan-selatan-balikpapan-1703826419.jpg
