judul,hyperlink,img_hyperlinks
RUMAH 2 LANTAI TENGAH KOTA PERUMAHAN BUKIT DAMAI INDAH BALIKPAPAN KAL-TIM,https://www.rumah123.com//properti/balikpapan/hos15945789/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15945789/original/hos15945789-rumah-di-jual-di-balikpapan-selatan-balikpapan-1704340035.jpg
"Rumah Luas Lokasi Strategis di Gunung Samarinda Baru, Balikpapan Utara",https://www.rumah123.com//properti/balikpapan/hos16239750/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1964420/2024-02-01-02-35-27-030b4254-675e-46cc-b965-e52a0bb80d6d.jpg
Rumah Minimalis Baru Renovasi Untuk Keluarga Muslimin,https://www.rumah123.com//properti/balikpapan/hos15643485/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1926217/2023-12-01-06-10-42-94a69e3c-8b2e-4af7-9489-e15c0da42060.jpg
"DIJUAL CEPAT RUMAH DI JALAN SWADAYA, KARANG REJO BALIKPAPAN",https://www.rumah123.com//properti/balikpapan/hos14193967/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14193967/original/hos14193967-rumah-di-jual-di-balikpapan-tengah-balikpapan-1689042171.jpg
Rumah Minimalis Modern Smart Home Tanah Luas,https://www.rumah123.com//properti/balikpapan/hos15998364/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1355633/2024-01-23-07-46-31-33b01afa-3599-49a3-8e3f-2eca551661c0.png
Rumah 2 Lantai Lokasi Premium Balikpapan,https://www.rumah123.com//properti/balikpapan/hos15377041/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1355633/2023-11-07-01-48-51-f7696a25-40f0-4711-a6ed-ad51699d3164.png
"Rumah Cantik 2,5 Lantai Konsep Scandinavian Dengan Rooftop",https://www.rumah123.com//properti/balikpapan/hos13384926/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1355633/2023-04-10-02-35-04-dfd40d44-5966-46b9-b146-8217eb3c0924.png
cepat rumah perumahan denhag luas 400m2,https://www.rumah123.com//properti/balikpapan/hos16132087/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1960768/2024-01-22-10-35-08-01249a53-34d0-44eb-bed1-996607a8443e.jpg
"Rumah Strategis Akses Mudah di Perum. Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14763146/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1885375/2023-09-13-06-23-44-111a8097-a5e3-4da1-8da0-529f9a31bda3.jpg
Rumah SHM di Perumahan Asri Bukit Mutiara Kutai Hills Balikpapan,https://www.rumah123.com//properti/balikpapan/hos16115107/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1691042/2024-01-20-13-04-15-869dc293-efb6-4d15-a415-fd5f2a176f3b.jpg
