judul,kategori,prices,info,hyperlink,img_hyperlinks
RUMAH 2 LANTAI TENGAH KOTA PERUMAHAN BUKIT DAMAI INDAH BALIKPAPAN KAL-TIM,RumahPremier,"Rp 1,5 MiliarCicilan : 6 Jutaan per bulan",531LT : 144 m²LB : 207 m²,https://www.rumah123.com//properti/balikpapan/hos15945789/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15945789/original/hos15945789-rumah-di-jual-di-balikpapan-selatan-balikpapan-1704340035.jpg
"Rumah Luas Lokasi Strategis di Gunung Samarinda Baru, Balikpapan Utara",RumahPremier,"Rp 3,1 MiliarCicilan : 14 Jutaan per bulan",323LT : 534 m²LB : 200 m²,https://www.rumah123.com//properti/balikpapan/hos16239750/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1964420/2024-02-01-02-35-27-030b4254-675e-46cc-b965-e52a0bb80d6d.jpg
Rumah Minimalis Baru Renovasi Untuk Keluarga Muslimin,RumahPremier,Rp 600 JutaCicilan : 2 Jutaan per bulan,221LT : 80 m²LB : 140 m²,https://www.rumah123.com//properti/balikpapan/hos15643485/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1926217/2023-12-01-06-10-42-94a69e3c-8b2e-4af7-9489-e15c0da42060.jpg
Rumah Minimalis Modern Smart Home Tanah Luas,RumahPremier,Rp 850 JutaCicilan : 3 Jutaan per bulan,331LT : 120 m²LB : 65 m²,https://www.rumah123.com//properti/balikpapan/hos15998364/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1355633/2024-01-23-07-46-31-33b01afa-3599-49a3-8e3f-2eca551661c0.png
Rumah 2 Lantai Lokasi Premium Balikpapan,RumahPremier,"Rp 1,05 MiliarCicilan : 4 Jutaan per bulan",321LT : 90 m²LB : 70 m²,https://www.rumah123.com//properti/balikpapan/hos15377041/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1355633/2023-11-07-01-48-51-f7696a25-40f0-4711-a6ed-ad51699d3164.png
"Rumah Cantik 2,5 Lantai Konsep Scandinavian Dengan Rooftop",RumahPremier,Rp 900 JutaCicilan : 4 Jutaan per bulan,321LT : 78 m²LB : 100 m²,https://www.rumah123.com//properti/balikpapan/hos13384926/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1355633/2023-04-10-02-35-04-dfd40d44-5966-46b9-b146-8217eb3c0924.png
cepat rumah perumahan denhag luas 400m2,RumahPremier,"Rp 4,5 MiliarCicilan : 20 Jutaan per bulan",641LT : 396 m²LB : 400 m²,https://www.rumah123.com//properti/balikpapan/hos16132087/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1960768/2024-01-22-10-35-08-01249a53-34d0-44eb-bed1-996607a8443e.jpg
"Apartemen Bagus Rp 1,195 M , 2br Furnished View Laut di Ruby Tower , Langsung Owner",ApartemenPremier,"Rp 1,19 MiliarCicilan : 5 Jutaan per bulan",22LB : 60 m²,https://www.rumah123.com//properti/balikpapan/aps3162334/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1219618/2024-01-14-08-39-32-e42c6acc-6643-46e4-b9a6-ec25389edc1c.jpg
Apartemen Podomoro Balikpapan Borneo Bay City Lokasi Strategis di Balikpapan Kota,ApartemenPremier,"Rp 1,2 MiliarCicilan : 5 Jutaan per bulan",21LB : 42 m²,https://www.rumah123.com//properti/balikpapan/aps3083280/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1912044/2023-11-06-08-49-37-f187ae63-3fab-42a7-8f31-d1e9f76029c8.jpg
"Rumah Strategis Akses Mudah di Perum. Balikpapan Baru, Balikpapan",RumahPremier,"Rp 2,5 MiliarCicilan : 11 Jutaan per bulan",321LT : 305 m²LB : 100 m²,https://www.rumah123.com//properti/balikpapan/hos14763146/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1885375/2023-09-13-06-23-44-111a8097-a5e3-4da1-8da0-529f9a31bda3.jpg
Rumah SHM di Perumahan Asri Bukit Mutiara Kutai Hills Balikpapan,RumahPremier,"Rp 1,5 MiliarCicilan : 6 Jutaan per bulan",321LT : 157 m²LB : 111 m²,https://www.rumah123.com//properti/balikpapan/hos16115107/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1691042/2024-01-20-13-04-15-869dc293-efb6-4d15-a415-fd5f2a176f3b.jpg
"Apartemen Borneo Bay 2 KT, 1 KM ,menghadap Laut Dan Kolam Renang",ApartemenFeatured,"Rp 1,3 MiliarCicilan : 5 Jutaan per bulan",21LB : 63 m²,https://www.rumah123.com//properti/balikpapan/aps3183823/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1333943/2024-01-31-00-05-33-59064db8-8f6c-4b11-9759-7d21cd9e1eaf.jpg
Rumah 230 Meter Jalan Raya Dekat Fasilitas Pendidikan,RumahFeatured,Rp 690 JutaCicilan : 3 Jutaan per bulan,321LT : 144 m²LB : 60 m²,https://www.rumah123.com//properti/balikpapan/hos16027810/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1355633/2024-01-12-07-17-45-dff2851e-af04-47d0-a592-8a82562c25e5.png
